file name,loc,blame error?,analyse time,constraints,hit as normal,hit as strict,Normal,Strict,Wrong dynamic
/home/sch/grift-exp/blackscholes/position-swap/mutant12/mutant12-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant13/mutant13-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant14/mutant14-dynamic.grift,270,#f,60,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant15/mutant15-dynamic.grift,270,#f,58,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant16/mutant16-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant17/mutant17-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant18/mutant18-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant19/mutant19-dynamic.grift,270,#f,58,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant2/mutant2-dynamic.grift,270,#f,60,1145,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant20/mutant20-dynamic.grift,270,#f,58,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant21/mutant21-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant22/mutant22-dynamic.grift,270,#f,60,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant23/mutant23-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant24/mutant24-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant25/mutant25-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant26/mutant26-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant27/mutant27-dynamic.grift,270,#f,62,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant28/mutant28-dynamic.grift,270,#f,60,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant29/mutant29-dynamic.grift,270,#f,59,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant3/mutant3-dynamic.grift,270,#f,59,1145,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant30/mutant30-dynamic.grift,270,#f,60,1147,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant31/mutant31-dynamic.grift,270,#f,60,1141,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant32/mutant32-dynamic.grift,270,#f,60,1147,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant33/mutant33-dynamic.grift,270,#f,59,1144,#f,#f,0,0,0
/home/sch/grift-exp/blackscholes/position-swap/mutant34/mutant34-dynamic.grift,270,#f,60,1141,#f,#f,0,0,0
