file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/position-swap/mutant72/mutant72-static/8.grift,#(struct:srcloc 8.grift 147 42 6399 172),elsewhere,1, (#(struct:srcloc 8.grift 64 19 2683 17))
/exp/fft/arithmetic/mutant11/mutant11-static/0.grift,#(struct:srcloc 0.grift 71 36 3355 36),elsewhere*7,7, (#(struct:srcloc 0.grift 75 69 3675 7) #(struct:srcloc 0.grift 73 69 3514 1) #(struct:srcloc 0.grift 78 54 3900 7) #(struct:srcloc 0.grift 77 54 3811 1) #(struct:srcloc 0.grift 81 43 4180 10) #(struct:srcloc 0.grift 73 98 3543 7) #(struct:srcloc 0.grift 75 104 3710 1))
/exp/fft/arithmetic/mutant11/mutant11-static/1.grift,#(struct:srcloc 1.grift 71 36 3348 36),elsewhere*7,7, (#(struct:srcloc 1.grift 75 69 3668 7) #(struct:srcloc 1.grift 73 69 3507 1) #(struct:srcloc 1.grift 78 54 3893 7) #(struct:srcloc 1.grift 81 43 4173 10) #(struct:srcloc 1.grift 77 54 3804 1) #(struct:srcloc 1.grift 73 98 3536 7) #(struct:srcloc 1.grift 75 104 3703 1))
/exp/fft/arithmetic/mutant11/mutant11-static/3.grift,#(struct:srcloc 3.grift 71 36 3342 36),elsewhere*7,7, (#(struct:srcloc 3.grift 75 69 3660 7) #(struct:srcloc 3.grift 73 69 3499 1) #(struct:srcloc 3.grift 78 54 3885 7) #(struct:srcloc 3.grift 77 54 3796 1) #(struct:srcloc 3.grift 81 43 4165 10) #(struct:srcloc 3.grift 73 98 3528 7) #(struct:srcloc 3.grift 75 104 3695 1))
/exp/fft/arithmetic/mutant11/mutant11-static/8.grift,#(struct:srcloc 8.grift 71 36 3272 36),elsewhere*7,7, (#(struct:srcloc 8.grift 75 69 3590 7) #(struct:srcloc 8.grift 78 54 3815 7) #(struct:srcloc 8.grift 73 69 3429 1) #(struct:srcloc 8.grift 77 54 3726 1) #(struct:srcloc 8.grift 81 43 4095 10) #(struct:srcloc 8.grift 73 98 3458 7) #(struct:srcloc 8.grift 75 104 3625 1))
/exp/fft/arithmetic/mutant11/mutant11-static/9.grift,#(struct:srcloc 9.grift 71 36 3231 36),elsewhere*7,7, (#(struct:srcloc 9.grift 75 69 3549 7) #(struct:srcloc 9.grift 73 69 3388 1) #(struct:srcloc 9.grift 78 54 3774 7) #(struct:srcloc 9.grift 81 43 4054 10) #(struct:srcloc 9.grift 77 54 3685 1) #(struct:srcloc 9.grift 75 104 3584 1) #(struct:srcloc 9.grift 73 98 3417 7))
/exp/fft/arithmetic/mutant12/mutant12-dynamic.grift,#(struct:srcloc mutant12-dynamic.grift 104 27 3263 154),elsewhere*2,2, (#(struct:srcloc mutant12-dynamic.grift 112 44 3684 31) #(struct:srcloc mutant12-dynamic.grift 114 44 3850 31))
/exp/fft/arithmetic/mutant16/mutant16-dynamic.grift,#(struct:srcloc mutant16-dynamic.grift 108 27 3454 154),elsewhere*2,2, (#(struct:srcloc mutant16-dynamic.grift 115 50 3933 37) #(struct:srcloc mutant16-dynamic.grift 113 50 3767 37))
/exp/fft/arithmetic/mutant16/mutant16-static/2.grift,#(struct:srcloc 2.grift 75 39 3607 91),elsewhere*2,2, (#(struct:srcloc 2.grift 80 62 4082 37) #(struct:srcloc 2.grift 78 62 3892 37))
/exp/fft/arithmetic/mutant16/mutant16-static/4.grift,#(struct:srcloc 4.grift 75 39 3601 91),elsewhere*2,2, (#(struct:srcloc 4.grift 80 62 4076 37) #(struct:srcloc 4.grift 78 62 3886 37))
/exp/fft/arithmetic/mutant16/mutant16-static/6.grift,#(struct:srcloc 6.grift 75 39 3583 91),elsewhere*2,2, (#(struct:srcloc 6.grift 80 62 4058 37) #(struct:srcloc 6.grift 78 62 3868 37))
/exp/fft/arithmetic/mutant9/mutant9-static/0.grift,#(struct:srcloc 0.grift 44 52 2092 31),grift-impl,1, (#(struct:srcloc 0.grift 42 39 1951 174))
/exp/fft/arithmetic/mutant9/mutant9-static/1.grift,#(struct:srcloc 1.grift 44 52 2093 31),grift-impl,1, (#(struct:srcloc 1.grift 42 39 1952 174))
/exp/fft/arithmetic/mutant9/mutant9-static/3.grift,#(struct:srcloc 3.grift 44 52 2091 31),grift-impl,1, (#(struct:srcloc 3.grift 42 39 1950 174))
/exp/fft/arithmetic/mutant9/mutant9-static/4.grift,#(struct:srcloc 4.grift 44 52 2088 31),grift-impl,1, (#(struct:srcloc 4.grift 42 39 1947 174))
/exp/fft/arithmetic/mutant9/mutant9-static/6.grift,#(struct:srcloc 6.grift 44 52 2078 31),grift-impl,1, (#(struct:srcloc 6.grift 42 39 1937 174))
/exp/fft/arithmetic/mutant9/mutant9-static/8.grift,#(struct:srcloc 8.grift 44 52 2060 31),grift-impl,1, (#(struct:srcloc 8.grift 42 39 1919 174))
/exp/fft/position-swap/mutant29/mutant29-static/9.grift,#(struct:srcloc 9.grift 48 36 2243 46),elsewhere*5,5, (#(struct:srcloc 9.grift 71 36 3239 10) #(struct:srcloc 9.grift 82 85 4155 12) #(struct:srcloc 9.grift 58 28 2696 10) #(struct:srcloc 9.grift 81 43 4034 10) #(struct:srcloc 9.grift 82 44 4114 12))
/exp/fft/position-swap/mutant34/mutant34-static/5.grift,#(struct:srcloc 5.grift 59 27 2770 46),elsewhere*6,6, (#(struct:srcloc 5.grift 82 85 4244 12) #(struct:srcloc 5.grift 82 116 4275 7) #(struct:srcloc 5.grift 82 75 4234 40) #(struct:srcloc 5.grift 82 57 4216 12) #(struct:srcloc 5.grift 75 79 3628 28) #(struct:srcloc 5.grift 73 73 3461 34))
/exp/fft/position-swap/mutant34/mutant34-static/9.grift,#(struct:srcloc 9.grift 59 27 2747 46),elsewhere*6,6, (#(struct:srcloc 9.grift 82 116 4215 7) #(struct:srcloc 9.grift 82 85 4184 12) #(struct:srcloc 9.grift 82 57 4156 12) #(struct:srcloc 9.grift 82 75 4174 40) #(struct:srcloc 9.grift 75 79 3568 28) #(struct:srcloc 9.grift 73 73 3403 34))
/exp/matmult/position-swap/mutant22/mutant22-dynamic.grift,#(struct:srcloc mutant22-dynamic.grift 65 33 1525 38),elsewhere*3,3, (#(struct:srcloc mutant22-dynamic.grift 19 17 415 9) #(struct:srcloc mutant22-dynamic.grift 30 61 879 1) #(struct:srcloc mutant22-dynamic.grift 21 19 460 2))
/exp/matmult/position-swap/mutant22/mutant22-static/6.grift,#(struct:srcloc 6.grift 41 38 1224 38),elsewhere*2,2, (#(struct:srcloc 6.grift 18 20 490 9) #(struct:srcloc 6.grift 20 22 540 2))
/exp/matmult/position-swap/mutant22/mutant22-static/8.grift,#(struct:srcloc 8.grift 41 38 1210 38),elsewhere*3,3, (#(struct:srcloc 8.grift 18 20 476 9) #(struct:srcloc 8.grift 23 90 712 1) #(struct:srcloc 8.grift 20 22 526 2))
/exp/n_body/arithmetic/mutant0/mutant0-static/4.grift,#(struct:srcloc 4.grift 4 25 108 43),elsewhere*8,8, (#(struct:srcloc 4.grift 84 48 3998 29) #(struct:srcloc 4.grift 83 48 3919 29) #(struct:srcloc 4.grift 60 224 2105 38) #(struct:srcloc 4.grift 59 20 1833 46) #(struct:srcloc 4.grift 82 48 3840 29) #(struct:srcloc 4.grift 61 223 2369 38) #(struct:srcloc 4.grift 62 229 2639 37) #(struct:srcloc 4.grift 63 228 2907 38))
