file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/arithmetic/mutant29/mutant29-dynamic.grift,#(struct:srcloc mutant29-dynamic.grift 113 15 3005 69),elsewhere,1, (#(struct:srcloc mutant29-dynamic.grift 98 6 2635 622))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/3.grift,#(struct:srcloc 3.grift 63 21 2646 69),elsewhere,1, (#(struct:srcloc 3.grift 56 9 2353 558))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/4.grift,#(struct:srcloc 4.grift 63 21 2646 69),elsewhere,1, (#(struct:srcloc 4.grift 56 9 2353 558))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/5.grift,#(struct:srcloc 5.grift 63 21 2632 69),elsewhere,1, (#(struct:srcloc 5.grift 56 9 2339 558))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/6.grift,#(struct:srcloc 6.grift 63 21 2634 69),elsewhere,1, (#(struct:srcloc 6.grift 56 9 2341 558))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/7.grift,#(struct:srcloc 7.grift 63 21 2630 69),elsewhere,1, (#(struct:srcloc 7.grift 56 9 2337 558))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/8.grift,#(struct:srcloc 8.grift 63 21 2628 69),elsewhere,1, (#(struct:srcloc 8.grift 56 9 2335 558))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/9.grift,#(struct:srcloc 9.grift 63 21 2616 69),elsewhere,1, (#(struct:srcloc 9.grift 56 9 2325 556))
/exp/blackscholes/arithmetic/mutant3/mutant3-dynamic.grift,#(struct:srcloc mutant3-dynamic.grift 23 13 462 53),elsewhere,1, (#(struct:srcloc mutant3-dynamic.grift 16 4 291 1740))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/3.grift,#(struct:srcloc 3.grift 13 18 432 53),elsewhere,1, (#(struct:srcloc 3.grift 10 6 297 1491))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/4.grift,#(struct:srcloc 4.grift 13 18 432 53),elsewhere,1, (#(struct:srcloc 4.grift 10 6 297 1491))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/5.grift,#(struct:srcloc 5.grift 13 18 432 53),elsewhere,1, (#(struct:srcloc 5.grift 10 6 297 1491))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/6.grift,#(struct:srcloc 6.grift 13 18 432 53),elsewhere,1, (#(struct:srcloc 6.grift 10 6 297 1491))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/7.grift,#(struct:srcloc 7.grift 13 18 432 53),elsewhere,1, (#(struct:srcloc 7.grift 10 6 297 1489))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/8.grift,#(struct:srcloc 8.grift 13 18 432 53),elsewhere,1, (#(struct:srcloc 8.grift 10 6 297 1489))
